Date,Bee_color,Nest_Number,Time_Entered,Time_Exited,Time_Entered_fixed,Time_Exited_fixed,Time_Entered_dt,Time_Exited_dt,Duration_minutes,ground_temperature_F
2025-07-01,GP,12,1:39,1:54,1:39 PM,1:54 PM,2025-07-01T13:39:00Z,2025-07-01T13:54:00Z,15,84
2025-07-01,BP,25,12:05,1:59,12:05 PM,1:59 PM,2025-07-01T12:05:00Z,2025-07-01T13:59:00Z,114,84
2025-07-01,BG,35,1:01,1:08,1:01 PM,1:08 PM,2025-07-01T13:01:00Z,2025-07-01T13:08:00Z,7,86
2025-07-01,unknown,20,12:20,12:25,12:20 PM,12:25 PM,2025-07-01T12:20:00Z,2025-07-01T12:25:00Z,5,86
2025-07-01,unknown,20,12:46,12:48,12:46 PM,12:48 PM,2025-07-01T12:46:00Z,2025-07-01T12:48:00Z,2,87
2025-07-01,unknown,20,1:04,1:07,1:04 PM,1:07 PM,2025-07-01T13:04:00Z,2025-07-01T13:07:00Z,3,86
2025-07-01,unknown,20,1:21,1:23,1:21 PM,1:23 PM,2025-07-01T13:21:00Z,2025-07-01T13:23:00Z,2,84
2025-07-01,unknown,14,1:27,1:42,1:27 PM,1:42 PM,2025-07-01T13:27:00Z,2025-07-01T13:42:00Z,15,84
2025-07-01,unknown,20,1:47,1:50,1:47 PM,1:50 PM,2025-07-01T13:47:00Z,2025-07-01T13:50:00Z,3,84
2025-07-01,unknown,28,2:05,2:16,2:05 PM,2:16 PM,2025-07-01T14:05:00Z,2025-07-01T14:16:00Z,11,84
2025-07-01,unknown,30,2:08,2:14,2:08 PM,2:14 PM,2025-07-01T14:08:00Z,2025-07-01T14:14:00Z,6,84
2025-07-02,Au/O,29,11:47,11:49,11:47 AM,11:49 AM,2025-07-02T11:47:00Z,2025-07-02T11:49:00Z,2,77
2025-07-02,Unknown,28,11:56,11:59,11:56 AM,11:59 AM,2025-07-02T11:56:00Z,2025-07-02T11:59:00Z,3,77
2025-07-02,Unknown,27,12:13,12:15,12:13 PM,12:15 PM,2025-07-02T12:13:00Z,2025-07-02T12:15:00Z,2,84
2025-07-02,Au/G,10,12:57,1:03,12:57 PM,1:03 PM,2025-07-02T12:57:00Z,2025-07-02T13:03:00Z,6,89
2025-07-03,unknown,30,11:55,11:59,11:55 AM,11:59 AM,2025-07-03T11:55:00Z,2025-07-03T11:59:00Z,4,75
2025-07-03,unknown,12,11:58,12:25,11:58 AM,12:25 PM,2025-07-03T11:58:00Z,2025-07-03T12:25:00Z,27,86
2025-07-03,unknown,35,1:40,2:02,1:40 PM,2:02 PM,2025-07-03T13:40:00Z,2025-07-03T14:02:00Z,22,91
