Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-24,12:42,12:50,2025-06-24T12:50:00Z,2025-06-24T12:45:00Z,77,180,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,180
2025-06-24,12:34,12:55,2025-06-24T12:55:00Z,2025-06-24T12:55:00Z,77,120,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,120
2025-06-24,12:14,12:57,2025-06-24T12:57:00Z,2025-06-24T12:55:00Z,77,240,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,240
2025-06-24,N/A,12:59,2025-06-24T12:59:00Z,2025-06-24T12:55:00Z,77,360,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,360
2025-06-24,12:51,1:04,2025-06-24T13:04:00Z,2025-06-24T13:05:00Z,78,660,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,660
2025-06-24,1:04,1:05,2025-06-24T13:05:00Z,2025-06-24T13:05:00Z,78,720,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,720
2025-06-24,1:11,1:14,2025-06-24T13:14:00Z,2025-06-24T13:15:00Z,78,1260,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,1260
2025-06-24,12:42,1:17,2025-06-24T13:17:00Z,2025-06-24T13:15:00Z,78,1440,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,1440
2025-06-25,N/A,11:36,2025-06-25T11:36:00Z,2025-06-25T11:35:00Z,71,1020,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,1020
2025-06-25,N/A,11:44,2025-06-25T11:44:00Z,2025-06-25T11:45:00Z,73,540,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,540
2025-06-25,N/A,11:47,2025-06-25T11:47:00Z,2025-06-25T11:45:00Z,73,360,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,360
2025-06-25,N/A,11:59,2025-06-25T11:59:00Z,2025-06-25T11:55:00Z,73,360,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,360
2025-06-25,N/A,12:00,2025-06-25T12:00:00Z,2025-06-25T11:55:00Z,73,420,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,420
2025-06-25,N/A,12:04,2025-06-25T12:04:00Z,2025-06-25T12:05:00Z,73,660,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,660
2025-06-25,12:04,12:06,2025-06-25T12:06:00Z,2025-06-25T12:05:00Z,73,780,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,780
2025-06-25,11:47,12:08,2025-06-25T12:08:00Z,2025-06-25T12:05:00Z,73,900,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,900
2025-06-25,N/A,12:19,2025-06-25T12:19:00Z,2025-06-25T12:15:00Z,75,1560,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,1560
2025-06-25,12:17,12:20,2025-06-25T12:20:00Z,2025-06-25T12:15:00Z,75,1620,SBA,2025-06-25T11:53:00Z,64,80.85,BKN,1620
2025-06-25,N/A,12:24,2025-06-25T12:24:00Z,2025-06-25T12:25:00Z,77,1740,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,1740
2025-06-25,12:19,12:27,2025-06-25T12:27:00Z,2025-06-25T12:25:00Z,77,1560,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,1560
2025-06-25,N/A,12:32,2025-06-25T12:32:00Z,2025-06-25T12:35:00Z,77,1260,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,1260
2025-06-25,N/A,12:33,2025-06-25T12:33:00Z,2025-06-25T12:35:00Z,77,1200,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,1200
2025-06-25,N/A,12:41,2025-06-25T12:41:00Z,2025-06-25T12:45:00Z,79,720,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,720
2025-06-25,12:37,12:42,2025-06-25T12:42:00Z,2025-06-25T12:45:00Z,79,660,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,660
2025-06-25,12:41,12:43,2025-06-25T12:43:00Z,2025-06-25T12:45:00Z,79,600,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,600
2025-06-25,12:24,12:44,2025-06-25T12:44:00Z,2025-06-25T12:45:00Z,79,540,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,540
2025-06-25,N/A,12:47,2025-06-25T12:47:00Z,2025-06-25T12:45:00Z,79,360,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,360
2025-06-25,N/A,12:48,2025-06-25T12:48:00Z,2025-06-25T12:45:00Z,79,300,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,300
2025-06-25,12:48,12:53,2025-06-25T12:53:00Z,2025-06-25T12:55:00Z,80,0,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,0
2025-06-25,12:50,12:55,2025-06-25T12:55:00Z,2025-06-25T12:55:00Z,80,120,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,120
2025-06-25,1:00,1:02,2025-06-25T13:02:00Z,2025-06-25T13:05:00Z,80,540,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,540
2025-06-25,1:04,1:08,2025-06-25T13:08:00Z,2025-06-25T13:05:00Z,80,900,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,900
2025-06-25,12:16,1:09,2025-06-25T13:09:00Z,2025-06-25T13:05:00Z,80,960,SBA,2025-06-25T12:53:00Z,66,75.41,BKN,960
2025-06-25,N/A,1:11,2025-06-25T13:11:00Z,2025-06-25T13:15:00Z,82,960,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,960
2025-06-25,1:14,1:15,2025-06-25T13:15:00Z,2025-06-25T13:15:00Z,82,720,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,720
2025-06-25,1:14,1:18,2025-06-25T13:18:00Z,2025-06-25T13:15:00Z,82,540,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,540
2025-06-25,1:14,1:19,2025-06-25T13:19:00Z,2025-06-25T13:15:00Z,82,480,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,480
